MATNR,MATNR_Description,CHARG,WERKS,LGORT,LABST,INSME,SPEME,KSPEM,MEINS,WAERS,BKLAS,STPRS,PEINH,VERPR,SALK3,LGRDT,HSDAT,LIFNR,WGRU1,Therapeutic_Category,Distress_Reason,Writedown_Pct,Writedown_Amount
PH-ACE-325,Acetaminophen 325mg tablets,B0001034,4010,0001,0,0,100,0,EA,USD,7900,0.30,1,0.29,30.00,2026-05-03,2027-03-11,V-P010,ZA,OTC,marked_for_deletion,1.00,30.00
PH-ACE-325,Acetaminophen 325mg tablets,B0001084,4010,0001,0,0,1000,0,EA,USD,7900,0.30,1,0.29,300.00,2026-03-02,2027-12-28,V-P010,ZA,OTC,marked_for_deletion,1.00,300.00
PH-AMX-500,Amoxicillin 500mg capsules,B0001039,4010,0001,5000,0,0,0,EA,USD,7900,4.50,1,4.28,22500.00,2025-03-13,2028-09-10,V-P005,IN,ANTIBIOTIC,slow_moving,0.30,6750.00
PH-AMX-500,Amoxicillin 500mg capsules,B0001089,4010,0001,500,0,0,0,EA,USD,7900,4.50,1,4.28,2250.00,2023-06-30,2026-06-08,V-P005,IN,ANTIBIOTIC,near_expiry,0.25,562.50
PH-DIA-10,Diazepam 10mg/2ml ampoule,B0001059,4010,0001,10000,0,0,0,EA,USD,7900,5.00,1,4.75,50000.00,2024-06-03,2026-06-18,V-P005,US,CONTROLLED,near_expiry,0.25,12500.00
PH-DIA-10,Diazepam 10mg/2ml ampoule,B0001109,4010,0001,2500,0,0,0,EA,USD,7900,5.00,1,4.75,12500.00,2024-07-14,2026-05-25,V-P005,IE,CONTROLLED,near_expiry,0.25,3125.00
PH-IGG-5,IVIG 5g/100ml IV,B0001054,4010,0001,1000,0,0,0,EA,USD,7900,850.00,1,807.50,850000.00,2024-01-17,2026-07-29,V-P010,ZA,BIOLOGIC,near_expiry,0.25,212500.00
PH-IGG-5,IVIG 5g/100ml IV,B0001104,4010,0001,500,0,0,0,EA,USD,7900,850.00,1,807.50,425000.00,2023-11-21,2025-12-31,V-P010,ZA,BIOLOGIC,expired,1.00,425000.00
PH-MMF-500,Mycophenolate 500mg tablets,B0001069,4010,0001,1000,0,0,0,EA,USD,7900,150.00,1,142.50,150000.00,2023-09-03,2025-10-11,V-P005,US,IMMUNO,expired,1.00,150000.00
PH-MMF-500,Mycophenolate 500mg tablets,B0001119,4010,0001,500,0,0,0,EA,USD,7900,150.00,1,142.50,75000.00,2023-10-28,2025-11-09,V-P005,IN,IMMUNO,expired,1.00,75000.00
PH-MOR-10,Morphine sulfate 10mg/ml,B0001044,4010,0001,100,0,0,0,EA,USD,7900,5.00,1,4.75,500.00,2024-02-21,2026-07-05,V-P010,IN,CONTROLLED,near_expiry,0.25,125.00
PH-MOR-10,Morphine sulfate 10mg/ml,B0001094,4010,0001,10000,0,0,0,EA,USD,7900,5.00,1,4.75,50000.00,2023-08-14,2026-06-20,V-P010,ZA,CONTROLLED,near_expiry,0.25,12500.00
PH-OMP-20,Omeprazole 20mg capsules,B0001029,4010,0001,5000,0,0,0,EA,USD,7900,0.30,1,0.29,1500.00,2024-03-18,2025-09-30,V-P005,IE,OTC,expired,1.00,1500.00
PH-OMP-20,Omeprazole 20mg capsules,B0001079,4010,0001,0,0,2500,0,EA,USD,7900,0.30,1,0.29,750.00,2026-02-01,2029-08-12,V-P005,US,OTC,marked_for_deletion,1.00,750.00
PH-ONC-TRZ,Trastuzumab 150mg vial,B0001049,4010,0001,5000,0,0,0,EA,USD,7900,250.00,1,237.50,1250000.00,2024-04-12,2025-11-20,V-P005,US,ONCOLOGY,expired,1.00,1250000.00
PH-ONC-TRZ,Trastuzumab 150mg vial,B0001099,4010,0001,10000,0,0,0,EA,USD,7900,250.00,1,237.50,2500000.00,2025-05-02,2028-06-08,V-P005,IN,ONCOLOGY,slow_moving,0.30,750000.00
PH-SAL-100,Salbutamol 100mcg inhaler,B0001064,4010,0001,100,0,0,0,EA,USD,7900,2.50,1,2.38,250.00,2023-09-19,2025-11-01,V-P010,IN,RESPIRATORY,expired,1.00,250.00
PH-SAL-100,Salbutamol 100mcg inhaler,B0001114,4010,0001,10000,0,0,0,EA,USD,7900,2.50,1,2.38,25000.00,2023-12-22,2026-05-31,V-P010,IN,RESPIRATORY,near_expiry,0.25,6250.00
PH-VAN-500,Vancomycin 500mg IV vial,B0001074,4010,0001,1000,0,0,0,EA,USD,7900,4.50,1,4.28,4500.00,2024-06-09,2029-02-07,V-P010,ZA,ANTIBIOTIC,slow_moving,0.30,1350.00
PH-VAN-500,Vancomycin 500mg IV vial,B0001124,4010,0001,10000,0,0,0,EA,USD,7900,4.50,1,4.28,45000.00,2022-11-23,2025-10-27,V-P010,ZA,ANTIBIOTIC,expired,1.00,45000.00
